Name,Age,EmailAddress
Hines,Faulk,CEUba20@my.fisk.edu
Bukayo,Saka,FVAdeyemi05@my.fisk.edu
Oxlade,Chamberlain,EOOkoroh08@my.fisk.edu
Ramsey,Jacob,PAOlapade@my.fisk.edu
Amina,Zainab,AAAdetula11@my.fisk.edu
Akin,Akinleye,CRNwokorie10@my.fisk.edu
Emile,Smith,EOOkoroh08@my.fisk.edu
Aaron,Christian,WODayok11@my.fisk.edu
Benedict,John,OTOyefeso10@my.fisk.edu
WHite,Benjamin,eiadeyemi05@my.fisk.edu
Gabriel,Joao,kcnnorom20@my.fisk.edu
Stones,Walker,aosuji31@my.fisk.edu
Cornelius,Stewart,otfadero09@my.fisk.edu
Dennis,Emmanuel,jmhudson29@my.fisk.edu
Scott,Parker,ajadewale27@my.fisk.edu
Martin,King,csiheagwaram10@my.fisk.edu
Vinesh,Vivek,dpandey08@my.fisk.edu
Tony,Stark,rnepal30@my.fisk.edu
Cody,Rhodes,mmolagoke04@my.fisk.edu
Roman,Reigns,ofejiaka04@my.fisk.edu
Jimmy,Uso,aaoladunmade13@my.fisk.edu
Riddle,Orton,haagunbiade10@my.fisk.edu
Matt,Randy,aopeasare01@my.fisk.edu
Bianca,Belair,sundubuisi08@my.fisk.edu
Sonia,Deville,abastola21@my.fisk.edu
Lupita,Nyongo,barthur28@my.fisk.edu
Depp,Alice,csbelolisa09@my.fisk.edu
Bruce,Banner,aeebhounu08@my.fisk.edu
Junior,Santos,aeebhounu08@my.fisk.edu
